date	followers	following	medias
2018-11-21 00:12:43	951	464	322
2018-11-21 01:12:44	955	464	322
2018-11-21 02:12:44	957	464	322
2018-11-21 03:12:45	955	464	322
2018-11-21 04:12:45	952	464	322
2018-11-21 05:12:46	947	464	322
2018-11-21 06:12:46	945	464	322
2018-11-21 07:12:46	939	464	322
2018-11-21 08:12:46	936	454	322
2018-11-21 09:30:15	936	454	322
2018-11-21 10:30:16	936	457	322
2018-11-21 21:05:55	1001	460	339
2018-11-21 22:11:47	1001	461	339
2018-11-21 23:28:44	1000	466	340
2018-11-22 00:28:45	1002	466	342
2018-11-22 01:28:45	1010	466	343
2018-11-22 02:28:46	1017	466	345
2018-11-22 03:28:47	1019	466	348
2018-11-22 04:28:48	1017	466	348
2018-11-22 05:28:48	1015	466	348
2018-11-22 06:28:48	1008	466	348
2018-11-22 07:28:49	1011	466	348
2018-11-22 08:28:50	1013	458	346
2018-11-22 09:28:50	1013	465	346
2018-11-22 10:28:51	1010	465	346
2018-11-22 11:28:51	1006	498	346
2018-11-22 13:04:39	1010	498	347
2018-11-22 14:04:40	1009	498	347
2018-11-22 15:04:41	1009	498	347
2018-11-22 16:04:41	1009	498	347
2018-11-22 17:04:42	1007	498	347
2018-11-22 18:04:42	1008	498	348
2018-11-22 19:04:42	1008	498	348
2018-11-23 01:36:52	1023	498	351
2018-11-23 02:36:52	1025	498	352
2018-11-23 03:36:53	1025	498	353
2018-11-23 04:36:54	1025	498	354
2018-11-23 05:36:55	1025	498	356
2018-11-23 06:36:56	1026	498	357
2018-11-23 07:36:56	1021	498	358
2018-11-23 09:26:46	1016	498	358
2018-11-23 10:26:47	1017	498	358
2018-11-23 11:26:48	1016	498	358
2018-11-23 17:41:15	1021	460	358
2018-11-23 18:41:16	1021	460	359
2018-11-23 19:41:16	1023	460	360
2018-11-23 20:41:16	1019	460	361
2018-11-24 03:02:34	1032	467	365
2018-11-24 04:02:34	1032	467	365
2018-11-24 05:02:34	1031	467	365
2018-11-24 06:02:35	1029	467	366
2018-11-24 07:02:35	1024	467	366
2018-11-24 08:02:35	1022	467	366
2018-11-24 09:02:36	1019	467	363
2018-11-24 14:46:22	1008	453	368
2018-11-24 15:46:23	1008	453	368
2018-11-24 16:46:23	1009	453	368
2018-11-24 17:46:24	1009	453	368
2018-11-24 18:46:24	1012	453	369
2018-11-24 19:46:25	1014	453	370
2018-11-24 21:34:52	1004	454	372
2018-11-24 22:34:52	1004	454	372
2018-11-24 23:34:53	999	454	372
2018-11-25 00:34:54	999	454	372
2018-11-25 01:34:54	998	454	373
2018-11-25 02:34:54	996	454	373
2018-11-25 03:34:55	993	454	373
2018-11-25 04:34:55	992	454	373
2018-11-25 05:34:56	990	454	373
2018-11-25 06:34:56	985	455	373
2018-11-25 07:34:57	984	455	373
2018-11-25 08:34:58	983	456	374
2018-11-25 09:34:58	982	475	374
2018-11-25 10:34:58	984	474	375
2018-11-25 11:34:58	985	474	375
2018-11-25 12:34:59	983	474	375
2018-11-25 13:34:59	983	474	375
2018-11-25 14:34:59	984	474	377
2018-11-25 15:35:00	985	474	377
2018-11-25 16:35:01	983	474	377
2018-11-25 17:54:07	983	473	377
2018-11-25 18:54:07	984	473	377
2018-11-25 19:54:07	981	473	378
2018-11-25 20:54:08	979	473	378
2018-11-25 21:54:08	979	473	378
2018-11-25 22:54:09	970	473	378
2018-11-25 23:54:09	969	473	378
2018-11-26 00:54:09	969	473	379
2018-11-26 01:54:10	966	473	379
2018-11-26 02:54:10	963	473	379
2018-11-26 03:54:10	965	473	380
2018-11-26 04:54:11	964	473	380
2018-11-26 05:54:11	964	498	380
2018-11-26 06:54:12	962	498	380
2018-11-26 07:54:12	961	497	381
2018-11-26 08:54:13	960	497	381
2018-11-26 09:54:13	959	497	381
2018-11-26 10:54:14	959	497	381
2018-11-26 11:54:14	958	497	381
2018-11-26 12:54:15	954	497	382
2018-11-26 13:54:15	952	497	383
2018-11-26 14:54:15	953	497	383
2018-11-26 15:54:16	955	497	383
2018-11-26 16:54:16	954	497	383
2018-11-26 17:54:17	955	524	383
2018-11-26 18:54:18	953	524	383
2018-11-26 19:54:19	951	523	384
2018-11-26 20:54:19	956	546	384
2018-11-26 21:54:19	955	546	384
2018-11-26 22:54:20	949	546	385
2018-11-26 23:54:21	947	546	385
2018-11-27 00:54:21	946	546	386
2018-11-27 01:54:22	946	546	387
2018-11-27 02:54:22	947	546	388
2018-11-27 03:54:22	948	546	388
2018-11-27 04:54:23	947	547	388
2018-11-27 05:54:23	946	574	388
2018-11-27 06:54:24	946	574	388
2018-11-27 07:54:25	950	571	388
2018-11-27 08:54:25	950	571	389
2018-11-27 09:54:25	950	571	389
